"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Mothership","MT(TPA)",1192,0.02,0.15,0.24,0.35,0.42,0.5,0.58,0.65,0.7,0.75,0.8,0.87,0.93,1,1.08,1.15,1.26,1.4,1.58,1.92,4.83,"FL","12","Florida"
"Mothership","MT(No TPA)",2013,0.05,0.43,0.57,0.65,0.77,0.85,0.97,1.07,1.15,1.23,1.32,1.38,1.47,1.58,1.68,1.83,1.98,2.22,2.65,3.62,11.72,"FL","12","Florida"
"Transfer","TPA",129,0.02,0.2,0.36,0.4,0.47,0.53,0.62,0.66,0.7,0.78,0.85,0.88,0.9,0.99,1.07,1.13,1.29,1.53,1.94,2.41,3.75,"FL","12","Florida"
"Transfer","MT",1191,0.02,0.22,0.3,0.37,0.45,0.53,0.6,0.68,0.77,0.83,0.93,1.03,1.13,1.27,1.38,1.58,1.78,2.1,2.58,3.41,10.63,"FL","12","Florida"
"Transfer","Transfer",10231,0.02,0.18,0.25,0.33,0.38,0.45,0.52,0.58,0.65,0.72,0.8,0.88,0.98,1.1,1.27,1.48,1.82,2.38,3.75,7.3,11.98,"FL","12","Florida"
"PSC","TPA",3669,0.08,0.33,0.4,0.47,0.52,0.58,0.63,0.67,0.72,0.77,0.82,0.88,0.93,1,1.08,1.18,1.31,1.45,1.67,2.08,6.68,"GA","13","Georgia"
"Mothership","TPA",1919,0.07,0.27,0.35,0.38,0.42,0.47,0.5,0.53,0.58,0.62,0.65,0.7,0.75,0.82,0.88,0.97,1.08,1.22,1.43,1.8,11.92,"GA","13","Georgia"
"Mothership","MT(TPA)",576,0.02,0.37,0.45,0.53,0.58,0.66,0.72,0.75,0.8,0.85,0.92,0.97,1.05,1.13,1.22,1.3,1.42,1.53,1.73,2.38,10.93,"GA","13","Georgia"
"Mothership","MT(No TPA)",1514,0.1,0.4,0.52,0.67,0.82,0.92,1.02,1.08,1.18,1.27,1.35,1.43,1.52,1.6,1.7,1.82,2.02,2.23,2.55,3.31,11.97,"GA","13","Georgia"
"Transfer","TPA",30,0.17,0.21,0.23,0.27,0.34,0.39,0.44,0.47,0.48,0.5,0.57,0.73,0.76,0.78,0.84,0.87,0.87,0.88,1.02,1.39,2.17,"GA","13","Georgia"
"Transfer","MT",1250,0.02,0.22,0.3,0.37,0.42,0.47,0.53,0.58,0.67,0.75,0.85,0.95,1.05,1.15,1.28,1.41,1.57,1.82,2.13,2.88,11.42,"GA","13","Georgia"
"Transfer","Transfer",8320,0.02,0.28,0.42,0.52,0.58,0.66,0.73,0.8,0.88,0.98,1.08,1.18,1.33,1.48,1.7,2,2.45,3.63,5.75,9.23,11.97,"GA","13","Georgia"
"PSC","TPA",19,0.57,0.69,0.71,0.79,0.84,0.87,0.9,0.93,0.99,1.11,1.17,1.21,1.22,1.4,1.49,1.51,1.52,1.66,1.97,2.01,2.27,"GU","66","Guam"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GU","66","Guam"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GU","66","Guam"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GU","66","Guam"
"Transfer","TPA",1,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,"GU","66","Guam"
"Transfer","MT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GU","66","Guam"
"Transfer","Transfer",1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,"GU","66","Guam"
"PSC","TPA",731,0.02,0.38,0.43,0.48,0.53,0.58,0.62,0.67,0.72,0.75,0.78,0.82,0.87,0.91,0.97,1.03,1.13,1.31,1.57,1.88,10.05,"HI","15","Hawaii"
"Mothership","TPA",624,0.1,0.18,0.2,0.22,0.23,0.25,0.27,0.28,0.3,0.32,0.33,0.37,0.4,0.45,0.5,0.55,0.65,0.73,0.88,1.26,9.42,"HI","15","Hawaii"
"Mothership","MT(TPA)",198,0.07,0.36,0.43,0.5,0.53,0.59,0.67,0.73,0.82,0.85,0.92,0.96,1,1.05,1.12,1.2,1.27,1.35,1.44,1.69,9.23,"HI","15","Hawaii"
"Mothership","MT(No TPA)",142,0.17,0.69,0.81,0.9,1.03,1.08,1.15,1.22,1.28,1.39,1.46,1.54,1.58,1.68,1.82,1.93,2.08,2.31,3.25,5.11,10.48,"HI","15","Hawaii"
"Transfer","TPA",5,0.47,0.48,0.5,0.52,0.53,0.55,0.57,0.6,0.62,0.64,0.67,0.7,0.74,0.78,0.81,0.85,1,1.15,1.3,1.45,1.6,"HI","15","Hawaii"
"Transfer","MT",221,0.03,0.2,0.23,0.3,0.33,0.37,0.4,0.45,0.48,0.53,0.6,0.68,0.73,0.82,0.92,1.15,1.25,1.4,1.63,1.98,10.3,"HI","15","Hawaii"
"Transfer","Transfer",1452,0.02,0.18,0.27,0.33,0.38,0.45,0.48,0.53,0.58,0.63,0.7,0.77,0.88,1.05,1.28,1.45,1.67,1.9,2.2,3.11,11.62,"HI","15","Hawaii"
"PSC","TPA",1454,0.07,0.45,0.55,0.62,0.68,0.73,0.77,0.82,0.85,0.9,0.95,0.98,1.03,1.1,1.19,1.27,1.4,1.53,1.75,2.08,5.5,"IA","19","Iowa"
"Mothership","TPA",189,0.22,0.41,0.5,0.57,0.58,0.6,0.68,0.71,0.74,0.79,0.85,0.9,0.93,1.02,1.11,1.18,1.3,1.48,1.76,2.52,7.42,"IA","19","Iowa"
"Mothership","MT(TPA)",36,0.23,0.26,0.32,0.38,0.42,0.46,0.57,0.6,0.65,0.7,0.73,0.78,0.82,0.96,1.09,1.14,1.17,1.25,1.68,2.93,6.38,"IA","19","Iowa"
"Mothership","MT(No TPA)",198,0.13,0.27,0.46,0.58,0.67,0.77,0.85,1,1.06,1.13,1.18,1.26,1.32,1.43,1.53,1.68,1.81,1.99,2.32,5.2,9.25,"IA","19","Iowa"
"Transfer","TPA",21,0.18,0.27,0.4,0.47,0.57,0.6,0.62,0.63,0.75,0.75,0.78,0.8,0.83,1.02,1.07,1.2,1.25,1.25,1.67,1.72,1.87,"IA","19","Iowa"
"Transfer","MT",284,0.1,0.33,0.42,0.47,0.5,0.55,0.63,0.73,0.78,0.87,0.93,1.03,1.13,1.2,1.33,1.4,1.53,1.68,1.92,2.3,5.27,"IA","19","Iowa"
"Transfer","Transfer",2364,0.02,0.27,0.48,0.57,0.62,0.67,0.72,0.77,0.83,0.9,0.97,1.02,1.08,1.18,1.32,1.45,1.62,1.88,2.4,6.34,11.98,"IA","19","Iowa"
"PSC","TPA",210,0.03,0.29,0.36,0.4,0.43,0.45,0.48,0.52,0.53,0.57,0.58,0.62,0.65,0.68,0.7,0.77,0.82,0.92,1.07,1.57,4.43,"ID","16","Idaho"
"Mothership","TPA",232,0.2,0.38,0.42,0.43,0.48,0.53,0.57,0.58,0.63,0.68,0.72,0.75,0.78,0.82,0.86,0.95,1.02,1.11,1.25,1.56,2.78,"ID","16","Idaho"
"Mothership","MT(TPA)",100,0.08,0.17,0.33,0.45,0.58,0.65,0.7,0.74,0.84,0.93,0.97,1.04,1.15,1.21,1.26,1.32,1.47,1.66,2.07,2.23,3.47,"ID","16","Idaho"
"Mothership","MT(No TPA)",219,0.07,0.35,0.52,0.65,0.74,0.87,0.97,1.05,1.12,1.22,1.3,1.45,1.55,1.69,1.85,1.93,2.05,2.2,2.48,3.22,9.02,"ID","16","Idaho"
"Transfer","TPA",4,0.28,0.32,0.35,0.39,0.42,0.46,0.49,0.54,0.62,0.7,0.77,0.85,0.93,1.01,1.07,1.12,1.17,1.22,1.27,1.32,1.37,"ID","16","Idaho"
"Transfer","MT",39,0.18,0.41,0.45,0.5,0.53,0.56,0.62,0.76,0.8,0.82,0.88,0.94,0.98,1.02,1.14,1.26,1.33,1.4,1.52,1.77,2.6,"ID","16","Idaho"
"Transfer","Transfer",361,0.1,0.25,0.42,0.5,0.63,0.7,0.77,0.85,0.97,1.05,1.12,1.23,1.33,1.48,1.7,1.9,2.18,2.95,4.77,10.2,11.92,"ID","16","Idaho"
"PSC","TPA",2892,0.03,0.47,0.55,0.62,0.67,0.73,0.77,0.82,0.87,0.92,0.97,1.02,1.08,1.15,1.25,1.35,1.47,1.63,1.87,2.32,6.62,"IL","17","Illinois"
"Mothership","TPA",2290,0.02,0.32,0.41,0.47,0.52,0.57,0.62,0.65,0.7,0.73,0.77,0.82,0.87,0.93,1,1.1,1.2,1.37,1.62,2.17,10.35,"IL","17","Illinois"
"Mothership","MT(TPA)",350,0.02,0.29,0.53,0.64,0.73,0.83,0.92,0.97,1.05,1.1,1.13,1.23,1.33,1.43,1.57,1.77,1.93,2.11,2.4,2.89,8.53,"IL","17","Illinois"
"Mothership","MT(No TPA)",1044,0.02,0.4,0.53,0.62,0.73,0.93,1.12,1.27,1.4,1.54,1.67,1.78,1.9,2.05,2.2,2.37,2.57,2.93,3.54,4.48,11.98,"IL","17","Illinois"
"Transfer","TPA",26,0.18,0.39,0.45,0.55,0.57,0.6,0.62,0.64,0.7,0.72,0.76,0.77,0.77,0.99,1.03,1.14,1.18,1.46,1.64,1.7,3.72,"IL","17","Illinois"
"Transfer","MT",923,0.02,0.08,0.17,0.25,0.33,0.43,0.52,0.58,0.67,0.75,0.83,0.93,1.03,1.18,1.31,1.48,1.73,2.21,2.86,4.71,11.73,"IL","17","Illinois"
"Transfer","Transfer",4746,0.02,0.23,0.33,0.42,0.47,0.53,0.58,0.63,0.7,0.77,0.83,0.92,1.02,1.13,1.28,1.46,1.72,2.17,3.43,8.33,11.98,"IL","17","Illinois"
"PSC","TPA",1731,0.1,0.43,0.53,0.6,0.65,0.7,0.75,0.8,0.83,0.9,0.93,0.98,1.03,1.12,1.2,1.28,1.38,1.53,1.75,2.1,8.6,"IN","18","Indiana"
"Mothership","TPA",724,0.15,0.33,0.39,0.45,0.5,0.55,0.6,0.63,0.68,0.73,0.78,0.82,0.87,0.92,0.98,1.05,1.13,1.33,1.5,1.72,9.17,"IN","18","Indiana"
"Mothership","MT(TPA)",191,0.07,0.25,0.35,0.47,0.58,0.69,0.78,0.83,0.9,0.97,1.05,1.15,1.22,1.32,1.35,1.44,1.5,1.73,2.05,2.36,10.57,"IN","18","Indiana"
"Mothership","MT(No TPA)",415,0.22,0.53,0.62,0.77,0.88,1,1.15,1.28,1.42,1.5,1.63,1.73,1.82,1.95,2.06,2.27,2.42,2.73,3.22,5.05,11.08,"IN","18","Indiana"
"Transfer","TPA",20,0.15,0.18,0.27,0.38,0.45,0.48,0.51,0.61,0.69,0.71,0.75,0.78,0.8,0.84,0.86,0.9,0.91,0.94,1.02,1.43,1.93,"IN","18","Indiana"
"Transfer","MT",1136,0.02,0.18,0.28,0.35,0.4,0.45,0.52,0.57,0.63,0.68,0.77,0.87,0.97,1.1,1.25,1.45,1.7,1.95,2.32,2.86,9.55,"IN","18","Indiana"
"Transfer","Transfer",7075,0.02,0.27,0.38,0.47,0.55,0.62,0.68,0.73,0.78,0.85,0.93,1.02,1.13,1.23,1.38,1.55,1.75,2.13,2.72,4.6,11.98,"IN","18","Indiana"
"PSC","TPA",1436,0.02,0.45,0.5,0.55,0.6,0.63,0.68,0.72,0.75,0.8,0.83,0.9,0.95,1,1.07,1.17,1.27,1.43,1.69,2.14,5.93,"KS","20","Kansas"
"Mothership","TPA",567,0.1,0.27,0.32,0.35,0.38,0.42,0.45,0.48,0.52,0.53,0.57,0.6,0.63,0.68,0.73,0.78,0.85,0.92,1.07,1.48,3.65,"KS","20","Kansas"
"Mothership","MT(TPA)",143,0.17,0.43,0.53,0.6,0.64,0.69,0.74,0.78,0.83,0.85,0.92,0.95,1,1.02,1.08,1.12,1.22,1.37,1.52,1.81,9.78,"KS","20","Kansas"
"Mothership","MT(No TPA)",313,0.08,0.85,0.97,1.05,1.12,1.2,1.27,1.32,1.38,1.43,1.48,1.54,1.63,1.7,1.81,1.92,2.03,2.24,2.67,3.37,10.68,"KS","20","Kansas"
"Transfer","TPA",21,0.02,0.02,0.1,0.1,0.12,0.25,0.28,0.3,0.38,0.4,0.63,0.65,0.72,0.8,0.9,0.95,1.02,1.03,1.25,4,6.8,"KS","20","Kansas"
"Transfer","MT",563,0.15,0.47,0.53,0.58,0.63,0.67,0.72,0.77,0.8,0.85,0.9,0.97,1.02,1.1,1.17,1.3,1.43,1.6,1.85,2.35,11.1,"KS","20","Kansas"
"Transfer","Transfer",2464,0.02,0.28,0.38,0.48,0.57,0.67,0.77,0.87,1,1.13,1.3,1.47,1.63,1.83,2.17,2.6,3.52,5.16,8.87,10.91,11.98,"KS","20","Kansas"
